15. 弟茂德前书 金句

弟前 1：15    基督耶稣到世界上来，是为拯救罪人；而我就是其中的魁首。

弟前 2：4    他愿意所有的人都得救，并得以认识真理。

弟前 2：5    天主只有一个，在天主与人之间的中保也只有一个，就是降生成人的基督耶稣。

弟前 3：15    知道在天主的家中应当如何行动；这家就是永生天主的教会，真理的柱石和基础。

弟前 3：16    无不公认，这虔敬的奥迹是伟大的：就是他出现于肉身，受证于圣神，发显于天使，被传于异民，见信于普世，被接于光荣。

弟前 4：4    天主所造的样样都好，如以感恩的心领受，没有一样是可摈弃的。

弟前 4：7-8    要在虔敬上操练自己，因为身体的操练益处不多，惟独虔敬在各方面都有益处，因为有今生与来生的应许。

弟前 5：8    如有人不照顾自己的戚族，尤其不照顾自己的家人，即是背弃信德，比不信的人更坏。

弟前 6：7-8    我们没有带什么到世界上，同样也不能带走什么，只要我们有吃有穿，就当知足。

弟前 6：10    贪爱钱财乃万恶的根源。

弟前 6：15-16    在预定的时期使人看见这显现的，是那真福，惟一全能者，万王之王，万主之主，是那独享不死不灭，住于不可接近的光中，没有人看见过，也不能看见的天主。

弟前 6：17    不要心高气傲，也不要寄望于无常的财富，惟独寄望于那将万物丰富地供给我们享用的天主。
