33. 厄则克耳 金句

则 3：1    人子，将给你的吞下去。你吞下这卷书，然后去向以色列子民宣讲。

则 3：10    人子，我向你说的一切话，要听到耳中，存在心里。

则 18：4,20    谁犯罪，谁丧亡……儿子不承当父亲的罪过，父亲不承当儿子的罪过。

则 18：23    我岂能喜欢恶人的丧亡？……我岂不更喜欢他离开旧道而得生存？

则 22：30    我在他们中找寻一个能修理城墙的人，能在我面前为保护本地，站在缺口处……的人。

则 33：11    以色列家族啊！归正吧！归正吧！离开你们的邪道吧！何必要死去呢？

则 34：15-16    我要亲自牧放我的羊……失落的，我要寻找；迷路的，我要领回；受伤的，我要包扎；病弱的，我要疗养；肥胖和强壮的，我要看守；我要按正义牧放他们。

则 36：26    我还要赐给你们一颗新心，在你们五内放上一种新的精神，从你们的肉身内取去铁石的心，给你们换上一颗血肉的心。

则 37：12,14    看，我要亲自打开你们的坟墓；我的百姓，我要从你们的坟墓中把你们领出来，引你们进入以色列地域……我要把我的神注入你们内，使你们复活。

则 47：1-5    看，有水从圣殿门限下边涌出，流向东方……那人手拿绳索向东走去，量了一千肘，遂叫我由水中走过，水深及踝。他再量了一千肘，再叫我由水中走过，水深及膝。又量了一千肘，又叫我走过，水深及腰。他又量了一千肘，水已成河。
